,txId1,txId2,HDBSCAN
0,232344069,27553029,3
1,232344069,234419685,3
2,3881097,232457116,3
3,232051089,232470704,3
4,33824628,232470704,3
5,76866560,232470704,3
6,232051089,3875004,3
7,232033533,232035280,3
8,232035283,232035280,3
9,230473487,7089694,3
10,52418452,7089694,3
11,199635150,7089694,3
12,231182296,14660781,3
13,231182296,231193137,3
14,43358239,230528714,3
15,5488136,27553759,3
16,231181128,232453404,3
17,230423018,232392936,3
18,230423018,232438397,3
19,1913117,232438397,3
20,232047899,232438397,3
21,3877118,232438397,3
22,230456717,232438397,3
23,230456719,232438397,3
24,3878718,232438397,3
25,230438854,232438397,3
26,230472241,232438397,3
27,232043907,232438397,3
28,16754007,232438397,3
29,230468036,232438397,3
30,7089693,232438397,3
31,232042947,232438397,3
32,230418063,232438397,3
33,230966618,232438397,3
34,230456734,232438397,3
35,71367715,232438397,3
36,231028597,232438397,3
37,231004407,232438397,3
38,3875725,232438397,3
39,3880228,232438397,3
40,232006620,232438397,3
41,3876512,232438397,3
42,231029351,232438397,3
43,230647320,232438397,3
44,231028826,232438397,3
45,230390558,232438397,3
46,3882627,232438397,3
47,3878606,232438397,3
48,230814630,232438397,3
49,230969378,232438397,3
50,230438845,232438397,3
51,51096093,232438397,3
52,3877156,232438397,3
53,71369010,232438397,3
54,232061267,232438397,3
55,230437700,232438397,3
56,231036638,232438397,3
57,3875136,232438397,3
58,3880822,232438397,3
59,230456732,232438397,3
60,3851887,232438397,3
61,230649107,232438397,3
62,231043940,232438397,3
63,3903408,232438397,3
64,3880017,232438397,3
65,230440348,232438397,3
66,230439793,232438397,3
67,230965656,232438397,3
68,35025113,232438397,3
69,230649124,232438397,3
70,3881930,232438397,3
71,3912536,232438397,3
72,232052547,232438397,3
73,230449518,232438397,3
74,22179034,232438397,3
75,232047924,232438397,3
76,232042915,232438397,3
77,3875041,232438397,3
78,232051672,232438397,3
79,89273,3906238,0
80,89273,51860219,0
81,89273,230512979,0
82,3402009,230512979,3
83,89273,230465219,0
84,230464776,230465219,3
85,89273,232916687,0
86,1913117,232916687,3
87,89273,232440137,0
88,89273,5197391,0
89,89273,230872133,0
90,89273,230453424,0
91,230453431,230453424,3
92,230411688,230453424,3
93,89273,230457870,0
94,11343564,230457870,3
95,89273,232941800,0
96,230389787,232941800,3
97,89273,84863672,0
98,89273,231036727,0
99,89273,230446342,0
100,89273,230446331,0
101,89273,230421654,0
102,89273,230412050,0
103,89273,230447409,0
104,89273,230424162,0
105,89273,230468417,0
106,89273,15087677,0
107,230684633,15087677,3
108,65795604,15087677,3
109,89273,230469660,0
110,89273,232444499,0
111,232444501,232444499,3
112,89273,230466907,0
113,89273,27527984,0
114,230538139,27527984,3
115,89273,230524982,0
116,232443607,230524982,3
117,89273,230470039,0
118,89273,230531648,0
119,89273,32879801,0
120,89273,230470037,0
121,89273,230552326,0
122,89273,231034733,0
123,89273,232054853,0
124,230599592,232054853,3
125,230941366,232054853,3
126,232054858,232054853,3
127,89273,231026136,0
128,89273,32120805,0
129,89273,2718195,0
130,89273,2706899,0
131,230452144,2706899,3
132,230353892,2706899,3
133,89273,230456625,0
134,89273,230969390,0
135,89273,230468711,0
136,89273,230963202,0
137,89273,230465736,0
138,89273,105855467,0
139,89273,230468734,0
140,89273,73119987,0
141,89273,230468265,0
142,89273,230555001,0
143,89273,230529016,0
144,230523212,230529016,3
145,230529019,230529016,3
146,89273,232399133,0
147,89273,230439444,0
148,89273,230439297,0
149,89273,231028817,0
150,89273,3094131,0
151,89273,230468825,0
152,89273,230438845,0
153,89273,17790701,0
154,230585461,17790701,3
155,89273,16464132,0
156,89273,230520079,0
157,89273,230424173,0
158,89273,230423455,0
159,89273,230468421,0
160,89273,3880165,0
161,89273,232443223,0
162,230438486,232443223,3
163,89273,230528695,0
164,89273,232473209,0
165,89273,230557030,0
166,89273,59184908,0
167,89273,14938386,0
168,89273,57319992,0
169,232448372,57319992,3
170,89273,230468662,0
171,89273,230406515,0
172,89273,34300945,0
173,89273,232959346,0
174,89273,230968952,0
175,89273,5662056,0
176,230644286,5662056,-1
177,89273,3891413,0
178,89273,3863824,0
179,89273,232439175,0
180,89273,230412060,0
181,89273,230448396,0
182,89273,230471551,0
183,89273,230464759,0
184,89273,230969365,0
185,89273,230468668,0
186,89273,230468013,0
187,89273,49960790,0
188,1913117,49960790,3
189,232361286,49960790,3
190,232071123,49960790,3
191,230456706,49960790,3
192,89273,3838133,0
193,89273,230552327,0
194,89273,230469214,0
195,89273,230552328,0
196,89273,230639670,0
197,232360625,230639670,3
198,230459468,230639670,3
199,89273,230468660,0
200,89273,230646558,0
201,89273,230447404,0
202,89273,231028831,0
203,89273,230610774,0
204,232396270,230610774,3
205,89273,230970140,0
206,89273,3903937,0
207,89273,230527331,0
208,89273,230465641,0
209,89273,233229832,0
210,1913117,233229832,3
211,89273,230394594,0
212,89273,230468671,0
213,89273,230578991,0
214,89273,206142478,0
215,192823764,206142478,3
216,89273,3925147,0
217,89273,230412057,0
218,89273,232959336,0
219,89273,230969910,0
220,89273,89435610,0
221,89273,232470342,0
222,232353289,232470342,3
223,232361286,232470342,3
224,60492027,232470342,3
225,3401438,232470342,3
226,89273,195237909,0
227,14942862,195237909,3
228,230411274,195237909,3
229,226889376,195237909,3
230,3898178,195237909,3
231,3878742,195237909,3
232,23812310,195237909,3
233,230391405,195237909,3
234,230465357,195237909,3
235,230451676,195237909,3
236,232040293,195237909,3
237,203808992,195237909,3
238,89273,230470045,0
239,89273,232448397,0
240,232448399,232448397,3
241,89273,230438463,0
242,89273,230424153,0
243,89273,230529023,0
244,89273,42094373,0
245,230412050,42094373,3
246,89273,232467026,0
247,230461358,232467026,3
248,89273,230468274,0
249,89273,230683551,0
250,24155910,230683551,3
251,10437353,230683551,3
252,232898395,230683551,3
253,232339923,230683551,3
254,89273,230529048,0
255,230529053,230529048,3
256,230529165,230529048,3
257,89273,3881827,0
258,89273,232041790,0
259,89273,230464780,0
260,230464766,230464780,3
261,230464782,230464780,3
262,89273,230468782,0
263,89273,232940307,0
264,89273,7402053,0
265,89273,230464776,0
266,232037100,230464776,3
267,89273,230389787,0
268,230389794,230389787,3
269,89273,3897291,0
270,89273,230469212,0
271,89273,5514838,0
272,89273,230746742,0
273,230345948,230746742,3
274,230636186,230746742,3
275,89273,230468674,0
276,89273,232440017,0
277,232440020,232440017,3
278,89273,3881087,0
279,89273,230461049,0
280,89273,232062109,0
281,89273,178479614,0
282,89273,232440022,0
283,232440023,232440022,3
284,89273,232448376,0
285,232440027,232448376,3
286,89273,230969943,0
287,89273,230643592,0
288,89273,3882798,0
289,230468057,3882798,3
290,3420754,3882798,3
291,3408161,3882798,3
292,89273,230461031,0
293,230461032,230461031,3
294,230343385,230461031,3
295,89273,3916977,0
296,89273,13239490,0
297,1913117,13239490,3
298,89273,230448370,0
299,89273,230446528,0
300,89273,40297649,0
301,89273,228701568,0
302,89273,230468676,0
303,89273,230438107,0
304,89273,230465660,0
305,89273,3881097,0
306,89273,230468689,0
307,89273,230468425,0
308,89273,230968470,0
309,89273,230523204,0
310,231241751,230523204,3
311,89273,230968861,0
312,89273,233842379,0
313,1913117,233842379,3
314,89273,232444504,0
315,232443618,232444504,3
316,89273,232403823,0
317,89273,230438516,0
318,89273,230446354,0
319,89273,230468835,0
320,89273,230528694,0
321,89273,232907272,0
322,89273,230451730,0
323,230451739,230451730,3
324,230451734,230451730,3
325,230451735,230451730,3
326,3205536,230451730,3
327,10983754,230451730,3
328,230451742,230451730,3
329,89273,230468728,0
330,89273,232392085,0
331,89273,232959343,0
332,89273,230456710,0
333,230448375,230456710,3
334,89273,230439793,0
335,89273,230468715,0
336,89273,230465357,0
337,89273,230468800,0
338,89273,231029327,0
339,89273,34300577,0
340,9425781,34300577,3
341,89273,230470016,0
342,89273,2865010,0
343,2718195,2865010,3
344,230528694,2865010,3
345,230528695,2865010,3
346,89273,230468707,0
347,89273,230448070,0
348,89273,230686565,0
349,89273,230468268,0
350,89273,89682133,0
351,89273,232437171,0
352,89273,230464751,0
353,89273,230468428,0
354,89273,207822171,0
355,89273,230468684,0
356,89273,232448771,0
357,18010442,232448771,3
358,89273,213736062,0
359,89273,230464766,0
360,230464759,230464766,3
361,230464769,230464766,3
362,89273,230557022,0
363,89273,230973596,0
364,89273,230524983,0
365,2834813,230524983,3
366,89273,230963675,0
367,89273,3881497,0
368,89273,230464769,0
369,232034936,230464769,3
370,89273,230530058,0
371,231133568,230530058,3
372,89273,102585871,0
373,89273,230468702,0
374,89273,73120154,0
375,89273,230468406,0
376,89273,28326246,0
377,89273,212356532,0
378,89273,232424841,0
379,230537126,232424841,3
380,89273,230517614,0
381,89273,230465227,0
382,230465219,230465227,3
383,89273,3881941,0
384,89273,232071123,0
385,89273,230474369,0
386,89273,230470009,0
387,89273,230445946,0
388,89273,230424225,0
389,89273,230552339,0
390,89273,232436042,0
391,89273,197686857,0
392,89273,232031824,0
393,230530295,232031824,3
394,232027351,232031824,3
395,230465378,232031824,3
396,34381792,232031824,3
397,4054666,232031824,3
398,232031839,232031824,3
399,89273,231028874,0
400,89273,230391875,0
401,89273,230456709,0
402,89273,230557029,0
403,89273,230464771,0
404,230464776,230464771,3
405,230464766,230464771,3
406,89273,230966747,0
407,89273,232062518,0
408,230437640,232062518,3
409,230464769,232062518,3
410,89273,232927787,0
411,230748737,232927787,3
412,89273,230468808,0
413,89273,230518022,0
414,89273,230557028,0
415,89273,213736040,0
416,232812034,213736040,3
417,89273,230449505,0
418,89273,232413670,0
419,89273,230523246,0
420,230473314,230523246,3
421,89273,232001679,0
422,89273,232959333,0
423,89273,230968962,0
424,89273,230414055,0
425,89273,230469217,0
426,89273,107068491,0
427,89273,230468732,0
428,89273,232409101,0
429,230973596,232455956,3
430,230423318,230423018,3
431,232453639,232453630,3
432,1913117,232909272,3
433,1913117,233227310,3
434,1913117,231590190,3
435,1913117,2717498,3
436,232054853,2717498,3
437,230453424,2717498,3
438,230389796,2717498,3
439,230451730,2717498,3
440,17387772,2717498,3
441,3874463,2717498,3
442,3876550,2717498,3
443,1913117,232457891,3
444,1913117,232461949,3
445,1913117,230682525,3
446,1913117,232909292,3
447,1913117,209968186,3
448,1913117,232457915,3
449,1913117,233227303,3
450,1913117,232124773,3
451,1913117,233233227,3
452,1913117,232907868,3
453,1913117,232453418,3
454,1913117,232907628,3
455,1913117,232797971,3
456,1913117,230550393,3
457,232071123,230550393,3
458,230650549,230550393,3
459,230628190,230550393,3
460,230465203,230550393,3
461,230456706,230550393,3
462,230650904,230550393,3
463,230651829,230550393,3
464,1913117,232457903,3
465,1913117,230552370,3
466,230538139,230552370,3
467,206222134,192431356,3
468,206222134,226889376,3
469,218531044,226889376,3
470,214640857,226889376,3
471,195237911,226889376,3
472,230432611,230966618,3
473,230918484,40297647,3
