,txId1,txId2,prediction_label
10114,346100191,346100196,0
36164,3346043,4710490,0
34130,9995263,32915977,0
33782,145836954,156421113,0
6563,94176074,94621528,0
1032,232903177,2813778,0
8167,190086111,190086015,0
6440,94498581,98755950,0
6559,94175517,94621528,0
35264,218040123,26181447,0
15707,372722636,372866568,0
9228,43019172,43019166,0
8021,190832763,190832681,0
31857,37655657,105975809,0
30047,23576717,73031052,0
35063,219383192,36364435,0
32676,106366575,106414899,0
21684,355136906,355136898,0
28157,98039713,99697838,0
29882,73144109,12649359,0
3076,245413465,172510547,0
18458,268790869,269119075,1
6134,202252590,224694547,0
12864,248913909,248913904,0
12426,390370191,318801690,0
3566,86788719,86788714,0
20892,221616049,383024663,0
36505,188755263,194065309,0
35655,102343697,31580387,0
34103,121078671,151742640,0
20054,164903666,166499053,2
26029,115286481,115952203,0
7723,1108512,191127331,0
8218,190452299,193045908,0
12375,392806238,395286813,0
28308,97188340,96584826,0
4542,7473483,86800970,0
2344,312191392,40740335,0
6063,224213369,224213367,0
29921,72741780,35202200,0
17743,272521485,272521478,0
13248,363597246,363664448,0
6419,94325826,94648557,0
20478,300259043,300259465,0
18225,6137605,277077636,0
6980,95881733,94755326,0
22075,5684082,95570452,0
2275,310494241,310494239,0
5963,185005622,225051892,0
23140,4387573,54712545,0
35709,218024190,108707984,0
34634,84256457,3509407,0
34001,32915977,121225693,0
31820,105985420,106756614,0
16429,335477077,124719736,0
14375,99812663,33374616,0
18802,85005017,85004943,1
30358,73423191,73423187,0
36572,189154265,157596664,0
11599,378107418,378287447,0
192,89273,3838133,0
14118,5272048,115228585,0
24572,149644613,88843080,0
20838,376205008,382965631,2
7261,190076704,125767989,0
21619,355135814,355135838,0
9223,43445818,43445812,0
20578,376230614,381120031,0
6100,225275430,207057059,0
35596,218011087,218285334,0
47,3878606,232438397,0
20343,176607684,299042861,1
12657,233322149,248937572,0
25577,6060482,115186990,0
3050,244372656,245286813,0
2231,310160792,310471882,0
16016,314220369,372962069,0
16255,5678249,260029963,0
29306,13413524,13413534,0
25795,115106125,115107512,0
10519,181321500,240456764,0
16857,331501368,331529885,0
23824,56113863,69599046,0
20401,298682338,298934974,0
17924,272521470,272616450,0
27885,96311806,80666995,0
15894,368806370,372734990,0
17992,272148434,272153450,0
22040,355135848,355135853,0
10820,15103610,15982986,0
15834,310648102,322565804,0
10227,339096320,339648620,0
8992,68443596,68800152,0
13304,362839369,363005921,0
18024,299368254,299368669,2
11972,390059983,391089841,0
11585,378284091,378455429,0
34542,155816211,156302765,0
4668,26708537,279019726,0
16906,331536030,300842793,0
30758,27655201,27529062,0
33284,50257327,164753022,0
18670,278691751,283216361,0
10382,339057107,339265345,1
14543,99519514,100147104,0
23855,55777865,62264968,0
36165,4608182,4748710,0
30,7089693,232438397,0
23500,1813992,54804228,0
32006,105993456,107624551,0
36493,157599341,157599342,0
14747,2984918,308382460,0
17775,272462677,272616460,0
31074,93872450,34335946,0
13033,363225685,363553206,0
22188,3600683,95556609,0
20878,386125556,386125559,0
22773,99332126,132143861,0
817,230345455,232354183,0
11862,378495991,378573353,0
20564,379577305,382990254,0
8902,565334,43476890,0
2459,310483222,310483032,0
29354,13411590,12780684,0
916,3912534,76866560,0
9775,235425127,234559579,2
34599,181981499,164757822,0
5617,224715992,224715855,0
12850,249239629,248903650,0
12280,356503333,390774944,0
17593,299368253,272081367,2
8604,179081582,25877557,1
3057,245165922,246098243,0
34105,164849578,156074235,0
5093,226397712,225687034,0
4787,6858174,191941087,0
11990,390420354,390773289,0
6895,94300898,94300571,0
16766,331500792,331526465,0
36458,157634100,189807102,0
18536,1729453,175738755,0
28870,12665166,13153403,0
16747,363348154,337075558,0
35409,218306935,218398236,0
15314,38788486,308007318,0
10462,139667444,339057154,2
17004,331575819,336432730,0
28877,12662969,13029248,0
26945,30700346,151187053,1
21968,355135833,355203994,0
28969,12810836,12810831,0
29990,72640196,73187971,0
31823,105993456,106756614,0
11071,15883955,15883790,0
5351,224714880,224714872,0
11567,241499460,244629210,1
18009,200764120,272339009,0
34442,155666115,156216298,0
3543,75714015,22838024,0
12883,297664305,363342210,0
8032,26947361,191703279,0
8412,226667564,179113037,1
4238,88195366,9577048,0
29309,13268562,13268568,0
33753,49365699,156189849,0
22640,3181,228264115,0
10210,401023163,353142647,0
17917,146019234,272075111,0
11462,245712134,245712136,0
27282,96931071,36838022,0
24620,216521291,203802264,0
13319,363225871,363541011,0
21582,126793952,236743303,0
3799,58045783,8281606,0
1424,232396277,231141205,0
4370,279051855,232460340,0
5513,223882539,225926279,0
35453,62673760,51241159,0
28455,12781697,12781074,0
6695,94553940,98744932,0
3026,244688589,245231988,0
1632,232036654,232036662,0
9260,42672902,42672892,0
24940,198802733,200043601,0
35326,218032639,218263504,0
21962,355011078,355239156,1
23573,53883844,67668321,0
35753,218307883,219720174,0
30329,72339830,72339826,0
31895,1052068,105588420,0
20963,343603611,110940396,0
9663,235427807,234559577,2
25030,200072389,200456497,0
17077,331513072,124720068,0
10866,14994481,15241123,0
12093,172059132,390506488,0
18382,488266,274073978,0
7126,94503517,94676189,0
12577,390377851,390378095,0
7504,190087329,190450463,0
1240,3391070,3435882,0
33690,78133064,76941945,0
4110,279062649,86797676,0
17517,272466375,272616371,0
17405,272153910,272153905,0
5079,224970749,225687056,0
35726,219405824,218283428,0
9314,267167,234855564,0
16133,331543441,337069012,0
8723,203073853,179044743,0
17805,272466347,272680578,0
2299,310438836,313105511,0
23221,54812078,56131331,0
13088,362843769,362943680,0
33187,105858774,105858772,0
17880,272282445,272483702,0
21853,355154946,355236748,0
9535,180735,234608608,0
30135,71492105,72675584,0
10808,15865434,15860121,0
30107,71242657,73102693,0
24862,219635740,63489982,0
26881,32228844,149702077,0
4223,86781536,86781549,0
36078,155083299,13036330,0
13378,363322972,363713390,0
8329,179069339,179069333,1
22396,6472187,98501213,0
1823,3389771,25444506,0
13130,363115559,220400808,0
34762,194333523,19210463,0
26871,148841758,148841911,0
13748,209674257,50942668,0
7695,190450467,190450302,0
1960,10304380,310147165,0
26741,148671674,121778585,0
36037,3295794,3294761,0
29474,52629852,72753731,0
36108,3334342,2291756,0
31990,106414666,107624551,0
33601,18432712,156313815,0
25709,116162711,115723285,1
6447,94453559,99363541,0
9313,134785,234855564,0
18022,178327770,272114107,0
6919,94492530,94670962,0
27721,46325611,9904238,0
16704,331536567,331605705,0
15778,317009342,321139224,0
21256,355120644,355120639,0
4087,279440532,87939448,0
18546,137503472,277082298,0
22870,40713456,289000655,0
27300,96930864,36838022,0
29436,72311131,72748868,0
19500,163587574,163849747,0
34655,7981490,196107869,0
17667,272273597,266712227,0
15871,296712537,296712837,0
30021,41342269,65381198,0
32900,105588410,106003336,0
9994,346116149,346431524,0
18891,84749894,215872199,2
26890,143310472,148779591,0
4401,279035528,87066517,0
12826,248906407,248926808,0
23671,67611213,62161756,0
15729,315032898,321468859,0
5900,224212598,225021034,0
23011,43396863,69266648,0
10566,339054422,339089521,0
15745,372884386,314251244,0
3688,279482354,86947410,0
2303,310475830,313119227,0
6710,94119288,94361886,0
9406,134767,234861310,0
6915,94119020,94375436,0
18617,269560449,283178275,1
4494,86925834,87116086,0
35880,7952,155377639,0
21508,355126069,199473756,0
31442,94369736,94645773,0
7963,190967476,190967423,0
36188,1982287,9479179,0
23831,69790299,67563833,0
23696,69762625,69762959,0
17434,272153851,272333461,0
16496,30620621,331557654,0
11228,243780733,238236336,1
371,231133568,230530058,0
12326,283128182,390370792,0
290,3420754,3882798,0
32968,106713640,106742192,0
32308,105857516,105857511,0
17017,256690858,335999266,0
4522,279023996,58037410,0
9796,345837244,347550863,0
13623,209823054,209952974,0
601,232037399,230438468,0
7837,191549341,190452290,0
9533,180735,5053279,0
24611,199941768,97150082,1
23603,39700148,69766502,0
3434,181288518,245244268,0
29690,3141442,21456350,0
10851,15429613,15429629,0
8288,7262580,179033937,0
26838,148827018,148827021,0
22754,3517342,201153011,0
23231,54804627,69365837,0
11498,241489554,238267284,0
22246,18942922,96378076,0
16728,331556215,337256711,0
15780,372722611,316099809,0
26012,30720338,115279312,0
18387,488266,277434850,0
16197,3180883,354646888,0
36416,5313367,157594782,0
20420,299089370,299089357,0
21936,355004536,240441340,0
1946,310147781,310147165,0
15517,301051633,372722631,0
17240,272465925,272465918,0
33613,164753022,164753010,0
36236,157581697,157581680,0
3457,244309925,246107362,0
33872,155578507,156006577,0
23764,54724523,54724510,0
26242,149160552,149158766,0
29622,72339826,73005229,0
20208,298952177,299155002,0
28781,12696109,13401021,0
32802,106747709,106747707,0
5628,223974850,151277978,0
7187,94199877,94588335,0
13677,2272609,209918381,0
20404,299120550,299185444,0
27744,13909471,96963538,0
20711,382948519,382975221,0
13439,363225010,351337077,0
15657,372864846,372957115,0
23222,54805075,56131331,0
8047,191119039,191639145,0
30552,72632811,73000659,2
13575,209923309,209923303,1
10207,399669739,399669741,0
36119,3332614,3332603,0
27492,97127163,4261635,0
35631,218307786,218307782,0
7810,191163190,191163183,0
