,gnn_auc,gnn_f1,gnn_ap
0,0.7929460848935388,0.5637637306175899,0.28710056939820755
3,0.8487510545702621,0.6558386883543234,0.44043221859535087
6,0.88269647209049,0.7362451892591719,0.4783075112559892
9,0.8908146559274892,0.7406763431538964,0.5353164030545169
12,0.9100411786379337,0.7920847926998235,0.6219876433293896
15,0.900420801242428,0.7343605702298771,0.5608889419885755
18,0.9197963644531992,0.793946552926757,0.6221766864742921
21,0.9035863228556713,0.8060223242177644,0.6512384386846821
24,0.896989422618818,0.7135251121417002,0.5732707012339487
27,0.9174027568550921,0.7584543710976618,0.6320005500458123
30,0.9241777580899452,0.7563102368539607,0.65016586098941
33,0.9284927401989762,0.8158613527628855,0.7162879793415573
36,0.9304581054382343,0.7612815315431462,0.6796805375475123
39,0.936474246610234,0.7951640548376423,0.7064257345288111
42,0.940672899459812,0.7876246054763589,0.7265370887606727
45,0.9398666888212963,0.799920206342201,0.7412123574350532
48,0.9436186128793216,0.8022051912930145,0.7463267090921604
51,0.9431543648838415,0.7918209666688875,0.7436482344715626
54,0.9465754748831486,0.8288594156020065,0.7726008277393996
57,0.9413999355142029,0.7717001184839508,0.7273635671688331
60,0.9428647344082867,0.8063626432999236,0.7599875136622591
63,0.9464136349644272,0.7892593829147752,0.7444960291380195
66,0.9454369084377896,0.8019477590309104,0.7613679215985376
69,0.9468014355245882,0.8172231149986369,0.7726392722421888
72,0.9457927468139483,0.8003309315523446,0.761983909246616
75,0.9468367721007122,0.8093114586242599,0.7710206189603827
78,0.9471264171210604,0.8149235146531132,0.7791901358505833
81,0.9452998019406363,0.7974439454706783,0.7678894992705816
84,0.9491980466225796,0.814812908163213,0.7730981686975079
87,0.9449860271076554,0.7803964155855436,0.7075701970157072
90,0.9437030017719631,0.8024623736243653,0.7508113448787238
93,0.9462069825365317,0.7699675416272462,0.7530613524528615
96,0.9435937776441986,0.7933140375181053,0.7730344151904646
99,0.9451699096611232,0.7799194713508355,0.7670871946220147
102,0.9440502441750867,0.8022711524802093,0.7733650780089987
105,0.94834948881741,0.7899377585035763,0.7619399468074661
108,0.9491558885382432,0.8225841224860065,0.7911607092204549
111,0.9504911660450513,0.811747679407075,0.786437486280977
114,0.9503806692478438,0.8303174176461693,0.7913435426343489
117,0.9509387311622379,0.8174028010855487,0.7958853180291444
120,0.9509139759234796,0.8211827570583383,0.7911584468779018
123,0.9531562740334534,0.8182939621906519,0.788105736758364
126,0.9519554049645802,0.8125003923979054,0.7907458612084431
129,0.9528222019409619,0.8204616186372873,0.7932248281279028
132,0.9530745468380463,0.8443185064479596,0.810362754170012
135,0.9512753704108049,0.8347277870171395,0.8077719004774966
138,0.9539200429641568,0.8288193024329769,0.8100937731970258
141,0.9280629997263833,0.7955075958237313,0.6525490513154693
144,0.9329516357685799,0.781609475665765,0.7005512662744853
147,0.9375582700794802,0.8414745256179338,0.7418240408405382
150,0.9261147900712119,0.6852853651241723,0.6587977756755292
153,0.9376030898610512,0.7486478739918103,0.7209059892302982
156,0.9384349866051179,0.7582147263850142,0.722065173022246
159,0.9438902078107752,0.8001216294936372,0.7525135565837511
162,0.9464801846676815,0.7913910839807191,0.763491409388869
165,0.9450073788647044,0.8196024545903448,0.7956791951295314
168,0.945645058979429,0.7601987725024489,0.7654705220089626
171,0.94863250868426,0.8076340206971863,0.7691544481494788
174,0.9518519987542673,0.8253411202608726,0.7919278144341136
177,0.952318792088633,0.8311520264302723,0.8032988862553381
180,0.9540012829089775,0.8256229586480378,0.7986745679239203
183,0.9539654518098697,0.8247498745248739,0.8024232695050048
186,0.9539989921039805,0.8377413813877652,0.8114509078350369
189,0.9544490734704651,0.8212157449768861,0.8035319698776174
192,0.9535532959927754,0.8279161001212382,0.8083278538684635
195,0.9556478626338492,0.833131584989656,0.8073211190663117
198,0.9575237846646794,0.8369072859162018,0.8165991035577629
201,0.9568808466070575,0.8377570781344067,0.8140162241031845
204,0.9557758495453968,0.8349288271288822,0.8204240912363854
207,0.9387450234261355,0.795997520947683,0.6330507073774271
210,0.9414017681582003,0.7474882750357038,0.6392270033109948
213,0.94186419078208,0.8365255722466537,0.7390713163476728
216,0.9434972656660664,0.8593894453611861,0.7656394378321429
219,0.9350357083410494,0.818603772722902,0.720205636921519
222,0.9329246842659833,0.74121783382226,0.6971322816302499
225,0.9462858080456097,0.7916948687394539,0.7427773523687285
228,0.9500271871282534,0.8126243886820568,0.79633897118171
231,0.9540236455291835,0.8296111534565341,0.8031030694564993
234,0.9517460981118473,0.8412109810678874,0.8148673877293509
237,0.9537356804324993,0.8094069372866292,0.7923969572729855
240,0.9532203293045999,0.8260533529207273,0.8076460946721258
243,0.9534344213944373,0.8304671953117239,0.8137602951987594
246,0.9540541677786162,0.8311236535034114,0.8140880940789689
249,0.9559094943816663,0.8276961716534726,0.8159072699729376
252,0.954886209970619,0.8278878697395518,0.8140890180715088
255,0.9545660863352186,0.849215139477737,0.8254954219611432
258,0.9543372749142278,0.8265999854340679,0.8179842908713686
261,0.9550368503982452,0.8412332472778445,0.8229060962447021
264,0.9556875262860782,0.8433853033184194,0.8254572814179268
267,0.9563672772163777,0.8433253776921296,0.8225155503219215
270,0.956437288580516,0.8496093073098435,0.8303775979490614
273,0.9562650709515397,0.8215590912662699,0.8090632590418487
276,0.9569777222050303,0.8401575182333997,0.8236582460090696
279,0.9574620565605136,0.8436404702722194,0.8240141337905194
282,0.9568190312341297,0.8363005396402693,0.8216380525357163
285,0.956717363126656,0.832389480229002,0.8156113126283148
288,0.9566370176866437,0.8482881232689837,0.8269532886524668
291,0.9570696380283753,0.8490035295213324,0.8288161049173685
294,0.9568620183717035,0.8358132038821534,0.8245358990343193
297,0.9581530360714955,0.8430214254225489,0.8289510470963286
300,0.9579161741072302,0.8448223874295893,0.827737141834217
303,0.9570081935476852,0.8407406561269325,0.8246681122393713
306,0.9575211011502547,0.847795110129098,0.8347454881035737
309,0.9577946014496738,0.8415441147530993,0.8321055328728362
312,0.9579806948117732,0.839717488104993,0.8311248257933894
315,0.9033664273931755,0.7455566789942691,0.6089058762430666
318,0.9098251884525277,0.6501169075937213,0.47538015259528976
321,0.9372692432128612,0.7827953361825494,0.7008018507405125
324,0.9453346949005547,0.7779982171051298,0.7167527757258446
327,0.947685126278771,0.7934888401180974,0.7457777704505941
330,0.9477480543284114,0.8018424837946092,0.7593637000372576
333,0.9520809701679884,0.8293220618447252,0.7899434903348335
336,0.9422609800247042,0.7970988358653789,0.7437630346690033
339,0.9440480915456292,0.8291082413936915,0.7732035670213522
342,0.9410676669761218,0.8434315150587005,0.7433254545224324
345,0.9440274815730554,0.8307324403999109,0.7395298147005179
348,0.9482992147382279,0.8227748486332359,0.7721006795381389
351,0.9492420373509137,0.7887847356283394,0.7516760745382606
354,0.9515000511104047,0.8239312707609316,0.7787057211492592
357,0.9517925832722888,0.8227407883808275,0.7828455105594687
360,0.9520932532462087,0.8266316854043764,0.7875350443166358
363,0.9532430555446468,0.8415244772895722,0.8017967053844739
366,0.9523815456007497,0.8377954311540938,0.8041016403384171
369,0.9528228346394848,0.8212936579969955,0.796260067786243
372,0.953474375942539,0.8292354504426619,0.800217843643882
375,0.9539067199331919,0.8351268409876759,0.8057727409054839
378,0.9552233510145662,0.8275071122845752,0.8021716219457062
381,0.954834117792233,0.8226628016938781,0.803943114614
384,0.9553847691342724,0.8349249288094979,0.8084812510613937
387,0.9547748623029841,0.8421323340297368,0.8181931630138454
390,0.9550737069053036,0.8368587756946845,0.8100829258169314
393,0.9539024946706423,0.8290231908087391,0.8129132353737611
396,0.9549335387290909,0.8269700291354184,0.8069423827408828
399,0.9554419738076192,0.8398574980023873,0.8155934576703165
402,0.9554193202915404,0.8394484918814449,0.815659743597055
405,0.955499185753363,0.8403130774278875,0.8185465010743521
408,0.9555996102809815,0.8417910913306804,0.8172250035239988
411,0.9560882426229825,0.8440477819355406,0.8159443609946808
414,0.9543539650649182,0.8510155694621503,0.8238415113818979
417,0.864270247559951,0.666308086516928,0.478809714554714
420,0.9036555924353343,0.7238462511980079,0.5309879429073106
423,0.9326587472592517,0.7743858294738571,0.6571510254034121
426,0.9447229336080787,0.8047452646324087,0.749808700065385
429,0.9468601092220914,0.7988691374202272,0.7592691060600968
432,0.9493256335523024,0.8082858728590854,0.7612314728719383
435,0.9479843708629153,0.8106913569029317,0.7838366715532269
438,0.9511556885764203,0.8112886837595136,0.7757007243505125
441,0.9500087806919144,0.8479395513901432,0.8121782789460611
444,0.9509115323981497,0.8247839949558269,0.7993907182490823
